,_id,businessZones,city,companyFullName,companyShortName,createTime,district,education,firstType,industryField,job_detail,lastLogin,positionId,positionLables,positionName,salary,secondType,skills,stationname,workYear
0,5b829bd2d664717a5c510299,"['八卦岭', '八卦岭', '笋岗', '笋岗', '园岭', '园岭']",深圳,平安科技（深圳）有限公司,平安科技,2018-08-20 13:29:45,福田区,本科,开发|测试|运维类,金融,"岗位职责：
1、负责人脸识别列产品的需求沟通，技术实现及风险点的评估；
2、独立或参与开发后台服务接口的设计与实现；
3、充分考虑多进程/线程、高并发的技术方案；
4、配合测试人员进行接口测试；
任职资格：
1、本科及以上学历，计算机，及通信类专业；
2、具有3年以上Python经验、熟练掌握Tornado等框架；
3、掌握java、c/c++、php、js等其中的一种语言
4、具有扎实的服务器端开发功底，对数据结构、算法、设计模式、http协议等有深刻理解；
5、熟悉数据库知识，熟悉redis，mongodb，mysql，oracle，有ceph，hadoop等分布式文件存储集群或数据库集群实际操作经验；
6、精通restful风格api编程，有多线程、高并发接口的实际项目经验；
7、工作认真、负责、有耐心、有独立判断力、有主动学习意识；
8、能按时完成本职工作或临时交代的其他任务；  
9、熟悉人脸识别或opencv者优先",1535091207000.0,3389654,"['C++', 'Java']",Python开发工程师（深圳）,15k-30k,后端开发,"['python', 'tornado', 'java', 'c', 'c', 'php', 'js', 'http', 'redis', 'mongodb', 'mysql', 'oracle', 'ceph', 'hadoop', 'restful', 'api', 'opencv']",八卦岭,3-5年
1,5b829bd2d664717a5c51029b,"['上梅林', '莲花北村', '笔架山']",深圳,万科物业发展有限公司,万科物业,2018-08-26 16:07:51,福田区,本科,开发|测试|运维类,"O2O,生活服务","任职资格：
5年及以上使用 Python 进行 Web 开发的经验，简历中请附上Github账号；
熟悉并在项目中使用至少一种 Python 的主流框架（Django/Flask/Tornado)；
使用 git 进行代码版本控制，熟悉 github 的开发流程，有代码 review 的习惯；
对于主流的数据库(Mysql/Postgresql,Mongodb,redis等)有实际的项目使用经验；
有团队合作精神，乐于分享，乐于助人；
拥抱开源，对新技术渴望。
加分项：
有项目部署的经验，熟悉各种 CI/CD 工具的配置及流程；
有运维的经验，搭建过监控系统或者日志收集平台等；
有搭建高可用，高并发服务的经验；
有 golang 的实际项目开发经验；
使用过 docker，swarm, kubernetes 等容器技术；
了解微服务架构或者搭建过类似系统。",1535266655000.0,5050834,"['电商', '移动互联网', '后端']",高级Python开发工程师,20k-35k,后端开发,"['python', 'web', 'github', 'python', 'django', 'flask', 'tornado', 'git', 'github', 'review', 'mysql', 'postgresql,mongodb,redis', 'ci', 'cd', 'golang', 'docker', 'swarm', 'kubernetes']",孖岭,5-10年
2,5b829bd2d664717a5c51029d,['科技园'],深圳,深圳呗佬智能有限公司,Bello,2018-08-22 10:38:23,南山区,本科,开发|测试|运维类,移动互联网,"1、本科或以上学历
2、需具备3年以上Python开发经验，有大型分布式系统开发经验者优先；
3、熟悉Python语言，熟练使用常用模块，使用过Django/Tornado等web框架；
4、有过大数据相关经验，ELT处理经验优先
5、具有良好的自学能力，能通过研究开源项目来解决开发中遇到的难题；
6、熟悉以下技术者优先考虑，Hadoop, Spark, MongoDB, MySQL
7、有前端（HTML、CSS、JavaScript、JQuery、Bootstrap）开发经验是加分项；
8、熟悉腾讯云，熟悉Docker
9、靠谱，有责任心",1535097394000.0,5029146,[],python开发工程师,15k-30k,后端开发,"['python', 'python', 'django', 'tornado', 'web', 'elt', 'hadoop', 'spark', 'mongodb', 'mysql', 'html', 'css', 'javascript', 'jquery', 'bootstrap', 'docker']",南山,3-5年
3,5b829bd2d664717a5c51029f,"['科技园', '南山医院', '大冲']",深圳,富途网络科技（深圳）有限公司,富途网络,2018-08-21 10:26:39,南山区,本科,开发|测试|运维类,"移动互联网,金融","职位诱惑：
  1、能够熟悉券商的内部运作机制、风控模型，并进行创新；
  2、公司快速成长中，大量新业务、系统改造进行中，锻炼机会多，上升空间大；
  3、学习气氛好，有各种培训课程，有内部知识分享平台，技能在深度和广度上都能得到提高；
  4、能学习到大量金融知识，接触到很多炒股高手，有助于投资理财能力的成长。
  5、运动气氛好，公司有健身房、冲凉房，有不少运动达人。
工作职责：
  1、负责证券业务系统中各模块的日常开发和维护工作；
  2、参与系统改造、重点项目、技术难点的攻坚。
工作要求：
  1、熟练掌握Python语言，熟练掌握常用语法糖、常用包；
  2、熟悉linux开发环境，熟悉MySQL的使用方法；
  3、具备基本的网络知识，具有扎实的数据结构和算法功底；
  4、具备良好的分析解决问题能力、学习能力、团队协作能力，认真负责；
  5、熟练掌握C++者优，有金融产品研发经验者优。",1534385721000.0,4874519,"['金融', 'Linux/Unix']",Python证券业务后台开发工程师,15k-30k,后端开发,"['python', 'linux', 'mysql']",深大,不限
4,5b829bd2d664717a5c5102a1,"['大冲', '科技园']",深圳,深圳睿云智合科技有限公司,Wise2c,2018-08-24 10:48:10,南山区,本科,开发|测试|运维类,"移动互联网,其他","职位描述
负责web项目后端的研发，架构设计，前沿技术研究等等
任职要求
计算机或相关专业
精通HTTP，REST等
精通一门以上web后端编程语言：Go, Python, Java, Node.js, Kotlin等
熟悉大型web应用系统架构，数据库，缓存，消息队列等技术。
技术控，热爱代码，对新兴技术有强烈兴趣
有微服务，docker, kubernetes经验者优先
有DevOps, 持续交付经验优先",1535280052000.0,4513464,"['云计算', 'Java', '云计算']",Python开发工程师,15k-30k,后端开发,"['web', 'http', 'rest', 'web', 'go', 'python', 'java', 'node.js', 'kotlin', 'web', 'docker', 'kubernetes', 'devops']",深大,3-5年
5,5b829bd2d664717a5c5102a3,"['坂田', '万科城']",深圳,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2018-08-25 10:34:21,龙岗区,大专,开发|测试|运维类,移动互联网,"1. 悉数据挖掘流程，有5年以上大数据以及数据挖掘相关开发工作经验
2. 熟悉各种挖掘算法，对模型有深刻的理解，熟知文本挖掘、聚类/分类、预测、关联等
3. 熟悉大数据技术，结合分布式与数据挖掘，实现算法模型，熟悉的语言包括 R\PYTHON\MAHOUT 等，有三年以上的R/python 数据挖掘与分析项目开发经验 
4. 有大规模分布式计算平台的使用和并行算法开发经验。
5. 能够独立进行挖掘模型设计和开发",1535181416000.0,4918801,"['算法', 'NLP']",Python/Rhadoop 数据挖掘,18k-30k,数据开发,"['r\\python\\mahout', 'r', 'python']",,5-10年
6,5b829bd2d664717a5c5102a5,['华强北'],深圳,深圳澳谷智能科技有限公司,深圳澳谷智能科技有限公司,2018-08-23 10:40:23,福田区,本科,开发|测试|运维类,其他,"任职资格:
 
作为一名ROS工程师，你将成为澳谷智能深圳团队的一员，你将负责为公司的机器人原型和其他产品进行编程及开发，大部分编程及开发是基于Python的ROS工具（机器人操作系统）和其附属库来完成的。
你将研究机器人使用的导航算法和智能避障技术，以确保每个机器人能够智能地感知环境并规划其行动路线。 你还会使用ROS为驱动程序、控制部分和其他接口进行编程，确保机器人的功能优化，并负责优化机器人与其基站的无线通信协议。
你应该是一位机器人操作系统（ROS）的专家，并愿意培训其他成员如何能更好地使用ROS。使用Python（2.7x 和 3.5x）来书写代码将是你的主要操作方式，偶尔还被要求使用其他的语言来进行编程，比如：C或者C++。
 
你的参与将贯穿产品的全生命周期（从产品定义和设计到产品生产）。你具有创意性的设计理念，从头至尾地负责不同层次（前端到后端）的相关工作。
 
你将在一个敏捷开发环境中，进行软件方面的设计、开发、测试、产品部署、维护及改进工作。你需要对自己的工作具有主人翁精神，管理项目完成时间，确保所有项目都能高质量并按时完成。
 
工作地点位于澳谷智能中国深圳办公室。
任职要求：
 
你必须具有:
 
–国内优等大学的学位（必须是 985 大学，最理想是 C9 大学），或海归（毕业于计算机科学，軟體工程、控制工程或其他相关专业）
–在机器人操作系统（ROS）的使用和功能熟悉发ing面均达到专家级水平，而且最近运用ROS做过导航算法、驱动程序和/或 控制部分的编程
–在使用Python（和其附属库）编程方面达到专家级水平
–非常熟练使用其他通用语言进行编程，如：C或C++
–较强的Linux(Ubuntu环境)技术能力
–优秀的沟通技巧和团队合作能力
–中文普通话母语水平, 本职位没有英语语言要求
 
 上述的职位要求与工作技能，是你必须要达到的。
拥有以下加分项，将会优先被考虑:
–在实际工作中，有使用和优化无线通讯协议的经验和能力
–曾在使用 agile/scrum 方法实施的项目中担任某项工作
 
你应该有至少 2-3 年软件工程师或机器人工程师的工作经验，在该职位中你曾频繁熟练地使用ROS。
 
在工作中，你应该能够舒适地接受不同意见和质疑，并为在创业文化理念环境中工作而感到兴奋。你应该乐于学习新东西，并能开放地接受新的经验。当有其他方面需要你帮忙的时候，你应该有团队协助精神。 
公司简介
澳谷智能 (August Robotics) 是一家致力于建立定制机器人解决方案的创业公司，以帮助人们和商业客户提高日常生活质量。
我们相信在不久的将来，特种机器人将在我们的日常生活中普遍存在，澳谷智能致力成为这场“机器人革命”的先行者。
澳谷智能最近已完成约2350万人民币的融资，投资者来自于不同国家的风险投资公司，目前公司正在大力发展我们的团队。
 
职位申请：
公司将向合格候选人提供有吸引力的薪金待遇。
请发送简历和申请信到 tech.recruiting@augustrobotics.com",1535076958000.0,5039482,"['后端', '全栈', '算法']",Python 工程师,16k-32k,后端开发,"['ros', 'python', 'ros', 'ros', 'ros', 'ros', 'python', 'c9', 'ros', 'ing', 'ros', 'python', 'linux(ubuntu', 'agile', 'scrum', 'ros', 'august', 'robotics', 'tech.recruiting@augustrobotics.com']",华强北,1-3年
7,5b829bd2d664717a5c5102a7,['南头'],深圳,深圳市南方网通网络技术开发有限公司,南方网通,2018-08-25 08:49:29,南山区,本科,开发|测试|运维类,电子商务、广告营销,"工作职责：
1、参与项目产品推荐研发工作，分析系统大数据；
2、深入理解业务以及机器学习，数据挖掘等技术，持续提升推荐效果。
3、参与公司AI和产品的开发，参与核心代码和软件的编写；
4、能够独立完成详细设计及编码、进行代码审查；
职位要求：
1、本科及以上学历，硕士优先。统计、计算机、应用数学、人工智能、模式识别等相关专业。两年以上工作经验。
2、熟悉自然语言处理、机器学习、深度学习、强化学习等相关算法，对自然语言处理方向有较深和全面的认识；
3、至少精通Python、Java或者其他语言中的一种，有较强的编程能力；
4、了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, Theano, Keras项目实战经验的优先；有智能问答、语义理解、知识图谱、推荐系统等相关方向实战经验的优先；
工作职责：
1、参与项目产品推荐研发工作，分析系统大数据；
2、深入理解业务以及机器学习，数据挖掘等技术，持续提升推荐效果。
3、参与公司AI和产品的开发，参与核心代码和软件的编写；
4、能够独立完成详细设计及编码、进行代码审查；
职位要求：
1、本科及以上学历，硕士优先。统计、计算机、应用数学、人工智能、模式识别等相关专业。两年以上工作经验。
2、熟悉自然语言处理、机器学习、深度学习、强化学习等相关算法，对自然语言处理方向有较深和全面的认识；
3、至少精通Python、Java或者其他语言中的一种，有较强的编程能力；
4、了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, Theano, Keras项目实战经验的优先；有智能问答、语义理解、知识图谱、推荐系统等相关方向实战经验的优先；",1535175527000.0,3437627,"['大数据', '算法', '机器学习']",Python工程师,10k-20k,后端开发,"['ai', 'python', 'java', 'tensorflow', 'theano', 'keras', 'ai', 'python', 'java', 'tensorflow', 'theano', 'keras']",新安,3-5年
8,5b829bd2d664717a5c5102a9,['上步'],深圳,深圳市博奥特科技有限公司,博奥特科技,2018-08-07 09:44:42,福田区,本科,开发|测试|运维类,"移动互联网,金融","1.运用Django开发3年以上
2.男性，大专以上学历，学历可查。
备注:该项目组半年一次年终奖，项目涉及核心模块，发展空间大",1534327354000.0,4819517,[],python,14K-22K,后端开发,['django'],华强北,3-5年
9,5b829bd2d664717a5c5102ab,,深圳,深圳市易讯天空网络技术有限公司,500.com集团,2018-08-24 11:50:34,南山区,本科,开发|测试|运维类,"移动互联网,电子商务","工作职责:
负责后台服务系统设计、开发和维护工作；
参与项目需求分析、联调以及测试工作；
主动发现并提出项目中出现的各种问题，积极推进项目进度。
 任职资格：
1、熟悉Unix/Linux后台服务开发，对多进程、多线程编程熟悉，熟悉常见的网络编程模型，有大并发系统，交易订单系统或者有游戏后台开发经验者优先;
2、至少精通python/c/c++/go/nodejs/erlang/php一种或多种语言
3、熟悉http/websocket等协议及相关知识，熟悉nginx等web服务器常用配置；
4、熟练使用Mysql数据库，且有优化经验。熟悉redis/mongodb等nosql数据库； 5、熟悉常用消息队列服务，有rabbitmq/zeromq等相关使用经验优先；
6、有游戏类海外项目开发者优先，英语能力优秀者优先。
7、对技术有追求，认真踏实，沟通学习能力强，团队意识强",1535084702000.0,3591308,"['游戏', '后端', 'C++', 'Java', 'PHP']",Python开发工程师,15k-25k,后端开发,"['unix', 'linux', 'python', 'c', 'c++', 'go', 'nodejs', 'erlang', 'php', 'http', 'websocket', 'nginx', 'web', 'mysql', 'redis', 'mongodb', 'nosql', 'rabbitmq', 'zeromq']",科苑,3-5年
