,terms,frequency,value
51,aws,51,30.5
102,cdn,21,30.0
63,tensorflow,37,27.29310344827586
36,scala,75,27.04054054054054
79,hdfs,27,26.4375
106,case,20,25.77777777777778
43,ai,66,25.5
80,experience,27,25.466666666666665
89,caffe,23,25.1875
11,spark,185,24.419540229885058
9,hadoop,196,24.07777777777778
18,unix,128,24.0
120,dns,16,23.75
107,saltstack,20,23.35185185185185
40,github,71,23.294117647058822
113,service,18,23.029411764705884
119,numpy,16,23.029411764705884
83,ci,24,22.71818181818182
32,golang,77,22.6864406779661
108,opencv,19,22.625
123,haproxy,16,22.6
116,cmdb,17,22.5
122,sqoop,16,22.3125
75,matlab,30,22.181818181818183
93,you,23,22.178571428571427
26,hive,103,22.05
62,kubernetes,38,21.96153846153846
96,flume,22,21.85
57,storm,43,21.82608695652174
50,devops,54,21.791666666666668
69,ansible,35,21.39814814814815
95,memcache,22,21.162790697674417
44,nodejs,62,21.1625
98,kvm,21,21.125
38,kafka,74,21.067307692307693
2,java,512,21.062706270627064
31,git,83,20.973118279569892
87,lua,24,20.916666666666668
99,memcached,21,20.821428571428573
88,r,23,20.677342823250296
104,pc,20,20.666666666666668
5,c,436,20.588687150837988
30,c++,84,20.588687150837988
78,socket,29,20.37
27,oracle,102,20.336363636363636
17,go,136,20.271676300578033
110,nagios,19,19.945945945945947
13,mongodb,158,19.907692307692308
20,docker,119,19.857142857142858
8,php,198,19.827102803738317
48,ruby,56,19.7375
0,python,1297,19.71664829106946
71,ros,32,19.705882352941178
101,lvs,21,19.65
22,nosql,112,19.603448275862068
6,shell,346,19.596153846153847
10,sql,191,19.585062240663902
29,hbase,88,19.532258064516128
1,linux,752,19.478693181818183
68,bi,35,19.47596153846154
4,mysql,454,19.43891402714932
67,ui,35,19.428571428571427
7,redis,246,19.40740740740741
100,mvc,21,19.375
112,mybatis,18,19.333333333333332
33,perl,77,19.25
16,tcp,141,19.176470588235293
14,http,143,19.162790697674417
97,websocket,21,19.133333333333333
12,javascript,175,18.942307692307693
66,spring,36,18.892857142857142
34,js,76,18.882882882882882
19,ip,120,18.774285714285714
70,ios,33,18.767857142857142
54,server,50,18.726190476190474
111,rest,18,18.63235294117647
52,restful,50,18.625
28,flask,91,18.57894736842105
74,angular,30,18.55263157894737
41,tornado,70,18.532258064516128
59,zabbix,40,18.466666666666665
47,node.js,56,18.46
115,vue.js,17,18.375
25,api,108,18.363636363636363
49,bootstrap,55,18.354166666666668
91,cloud,23,18.34090909090909
118,maven,16,18.333333333333332
53,postgresql,50,18.321428571428573
114,openstack,17,18.157894736842106
72,mapreduce,32,18.1
46,windows,58,18.05263157894737
65,nlp,36,18.0
3,web,467,17.970689655172414
60,android,40,17.94736842105263
76,rabbitmq,29,17.9375
77,webpack,29,17.916666666666668
24,nginx,109,17.9
15,django,141,17.872093023255815
56,tomcat,45,17.81578947368421
94,bash,22,17.76086956521739
103,gulp,20,17.6875
37,jquery,74,17.57894736842105
81,scrapy,26,17.375
73,css3,32,17.357142857142858
39,app,72,17.294520547945204
121,zookeeper,16,17.214285714285715
85,bug,24,17.181818181818183
117,udp,16,17.0
64,apache,37,16.948275862068964
42,vue,68,16.903225806451612
61,jenkins,39,16.829545454545453
92,es6,23,16.8
86,angularjs,24,16.571428571428573
58,elasticsearch,41,16.5625
35,react,76,16.5
82,ajax,26,16.40909090909091
23,css,111,16.26086956521739
21,html,116,16.083333333333332
105,elk,20,15.583333333333334
55,html5,48,15.333333333333334
109,selenium,19,15.144736842105264
90,qt,23,14.8
84,h5,24,14.0
45,etl,60,
